Title Catagory Alcohol Location Price Time
Climbing Sport No Boulders 200 20251028
Friday-Bar Party Yes AAU-CPH 0 20260328
Communal-Dinner Food Optional Various 100 20261128
Halloween-Party Party Yes AAU-CPH 70 20251127
Christmas-Lunch Food Yes AAU-CPH 60 20251128
Webinar-AI Academic No AAU-CPH 0 20251120
Urland-Visit Career No AAU-CPH 0 20251120
TECHATHON-2025 Academic No AAU-CPH 0 20251121
Exam-Anxiety Academic No AAU-CPH 0 20251128
Coding-Jam Academic No AAU-CPH 0 20260514
Startup-Visit Career No AAU-CPH 0 20260603
Boardgame-Night Gaming Optional AAU-CPH 40 20260411
Bouldering-Meetup Sport No Boulders 180 20260622
Student-Mixer Party Optional AAU-CPH 50 20260328
Data-Science-Talk Academic No AAU-CPH 0 20250918
Innovation-Workshop Academic Optional AAU-CPH 0 20260527
Kayak-Intro Sport No South-Harbor 120 20260713
Movie-Night Social Optional AAU-CPH 20 20260404
Green-Tech-Day Academic No AAU-CPH 0 20251008
Friday-Chillout Party Optional AAU-CPH 30 20260425
Pizza-Night Food Optional AAU-CPH 80 20260509
Career-Fair Academic No AAU-CPH 0 20250912
Robotics-Lab-Visit Career No AAU-CPH 0 20260619
E-Sport-Tournament Sport No AAU-CPH 60 20260420
Winter-Jazz Culture Optional Music-Hall 150 20260115
C-Programming-Help Academic No Room-304 0 20260210
Valentine-Dinner Food Optional Canteen 100 20260214
Semester-Start-Party Party Yes AAU-CPH 75 20250901
Morning-Run Sport No Amager-Commons 0 20260505
Beer-Tasting Social Yes Local-Pub 200 20260315
Thesis-Defense Academic No Auditorium 0 20260620
Harbor-Swim Sport No Harbor-Bath 0 20250810
Project-Deadline Academic No Online 0 20261219
New-Year-Bash Party Yes City-Hall 0 20261231
Study-Group Academic No Library 0 20260105
Coffee-Break Social No Kitchen 0 20260108
Job-Interview-Tips Career No Room-102 0 20260120
Lan-Party Gaming Optional Canteen 50 20260228
Guest-Lecture Academic No Auditorium 0 20260310
Easter-Lunch Food Yes AAU-CPH 125 20260417
Distortion-Street Party Yes Vesterbro 0 20260530
Roskilde-Festival Party Yes Roskilde 2500 20260628
Grill-In-Yard Food Optional Courtyard 65 20260705
Intro-Trip Social Yes Cabin-Zealand 600 20260905
Culture-Night Culture Optional Copenhagen 125 20261010
Cyber-Security-Talk Tech No Auditorium 0 20251115
Christmas-Eve Social Yes Home 0 20251224
Python-Workshop Academic No Room-202 0 20250920
Yoga-Session Sport No Roof-Terrace 0 20260615
Blockchain-Info Tech No Auditorium 0 20251022
Salsa-Dancing Social Optional Dance-Studio 50 20251105
Resume-Review Career No Student-Hub 0 20260303
Spring-Cleaning Social No Campus 0 20260320
Go-Kart-Race Sport No Racehall 350 20260415
Painting-Class Culture No Art-Room 60 20260512
Pride-Parade Culture Yes City-Center 0 20260816
DHL-Relay-Run Sport Yes Faelledparken 200 20260829
Oktoberfest Party Yes Tent-By-Water 150 20251003
Linux-Install-Party Tech No Room-105 0 20251012
Board-Meeting Academic No Conf-Room 0 20251101
Machine-Learning-101 Academic No Room-304 0 20260215
Pub-Quiz Social Yes Student-Bar 20 20260221
Padel-Tournament Sport No Match-Padel 120 20260308
Pancake-Morning Food No Shared-Kitchen 15 20260311
Cloud-Computing-Talk Tech No Auditorium 0 20260319
Badminton-Practice Sport No Sports-Hall 30 20260325
Study-Abroad-Info Academic No Atrium 0 20260402
Comedy-Night Culture Yes Downtown-Club 100 20260405
Git-Github-Course Tech No PC-Lab-1 0 20260409
Spring-Festival Party Yes Campus-Garden 50 20260418
Volunteer-Day Social No Local-Park 0 20260422
Wine-Tasting Social Yes Staff-Room 150 20260425
VR-Experience Tech No Media-Lab 0 20260502
Chess-Championship Gaming No Canteen 25 20260507
Eurovision-Party Social Yes Big-Screen 0 20260517
Harbor-Clean-Up Social No Sluseholmen 0 20260525
Thesis-Writing-Tips Academic No Library 0 20260528
Street-Food-Tour Food Optional Reffen 0 20260606
Beach-Volleyball Sport No Amager-Beach 0 20260614
Summer-Solstice Social Yes Bonfire-Site 0 20260623
Jazz-Festival-Trip Culture Optional City-Center 0 20260708
Outdoor-Cinema Culture Optional Kings-Garden 0 20260725
Copenhagen-Swim Sport No Canals 450 20260824
Intro-Week-BBQ Food Optional Campus-Yard 75 20260903
Semester-Kickoff Party Yes A-C-Meyers 0 20260905
Case-Competition Career No Innovation-Hub 0 20260915
Photography-Walk Culture No Sydhavn 0 20260921
Oktoberfest-Warmup Party Yes Student-Bar 60 20260926
Embedded-Systems-WS Tech No Robotics-Lab 0 20261002
Potluck-Dinner Food Optional Common-Room 0 20261009
Halloween-Movie Social Optional Auditorium 20 20261030
Spooky-Run Sport No Valby-Park 50 20261031
LinkedIn-Workshop Career No Room-2-1-15 0 20251104
Arduino-Basics Tech No FabLab 80 20251112
Thanksgiving-Dinner Food Optional Canteen 110 20251127
Gluhwein-Cozy Social Yes Fireplace-Area 35 20251203
Christmas-Market Culture Optional Christiania 0 20251208
Lucia-Kayak-Parade Culture No Canal-View 0 20251213
Secret-Santa Social No Class-Room 50 20251218
New-Year-Dip Sport No Harbor-Bath 0 20251231
Java-Programming Academic No Room-4-102 0 20260110
Ice-Skating-Trip Sport No Frederiksberg 45 20260118
Exam-Prep-Cafe Academic No Library-Zone 0 20260105
Boardgame-Marathon Gaming Optional Basement 20 20260124
Fastelavn-Party Party Yes Canteen 40 20260215
Career-Speed-Dating Career No Atrium 0 20260305
International-Day Culture Optional Main-Hall 0 20260315
Easter-Egg-Hunt Social No Campus-Grounds 0 20260401
Opera-Visit Culture Optional Opera-House 200 20260410
Urban-Gardening Social No Roof-Top 30 20260505
Hack-The-Box-Event Tech No Cyber-Lab 0 20260520
Design-Thinking-WS Academic No Design-Lab 0 20260218
Winter-Hike Sport No Hareskoven 25 20260125
Tapas-Night Food Yes Canteen 150 20260314
CV-Photo-Day Career No Atrium 50 20260305
Meditation-Break Sport No Quiet-Room 0 20260410
Suntan-Session Social Optional Harbor-Front 0 20260522
React-JS-Course Tech No PC-Lab-2 0 20260529
Cocktail-Course Social Yes Student-Bar 200 20260607
Flea-Market Culture Optional Parking-Lot 0 20260615
Summer-Cruise Social Yes Canal-Boat 100 20260702
Spikeball-Tourney Sport No Grass-Area 20 20260715
Visiting-Parents Social No Jutland 450 20260720
Reading-Marathon Academic No Library 0 20260805
SQL-Database-Intro Tech No Room-3-084 0 20260910
Sushi-Workshop Food Optional Kitchen-Lab 250 20260918
Oktoberfest-Setup Social Yes Tent-Area 0 20260930
Biology-Excursion Academic No Zoo-CPH 120 20261005
Networking-Dinner Career Optional Restaurant 300 20261015
Unity-Game-Dev Tech No Media-Room 0 20261025
Pumpkin-Carving Culture No Courtyard 40 20261029
Movember-Shave-Off Social Yes Canteen 0 20261101
Climate-Debate Culture No Auditorium 0 20261112
Beaujolais-Nouveau Social Yes Wine-Bar 175 20261120
First-Aid-Course Academic No Red-Cross 50 20261125
Christmas-Baking Food Optional Kitchen 30 20261201
Secret-Santa-Gift Social No Class-Room 50 20261210
New-Year-Planning Social Yes Group-Room 0 20261228
Hangover-Brunch Food No Cafe-Lazy 135 20260101
Winter-Exam-Start Academic No Online 0 20260104
Ski-Trip-Meeting Sport No Auditorium 0 20260112
Cyber-Security-CTF Tech No Hacking-Lab 0 20260125
Super-Bowl-Night Social Yes Sports-Pub 200 20260208
Valentines-Speed-Date Social Optional Bar-Slusen 75 20260214
Thesis-Brainstorm Academic No Study-Hall 0 20260301
St-Patricks-Day Party Yes Irish-Pub 100 20260317
Spring-Equinox Social No Roof-Top 0 20260320
Chemistry-Show Academic No Lab-101 0 20260404
Danish-Lessons Academic No Room-2-05 0 20260408
Botanical-Garden-Trip Culture No City-Center 60 20260422
May-Day-Speech Culture Optional Faelledparken 0 20260501
